strategy,,freq,freq,freq,beta,beta,beta
technique,,Crowd-Certain,Tao,Sheng,Crowd-Certain,Tao,Sheng
metric,dataset_name,,,,,,
ece score,kr-vs-kp,2.732,3.075,2.398,2.289,2.104,3.272
ece score,mushroom,2.188,3.092,2.391,2.25,1.963,3.267
ece score,iris,3.263,3.342,2.485,3.225,2.153,2.403
ece score,spambase,2.336,3.124,2.428,2.084,2.144,3.306
ece score,tic-tac-toe,2.497,3.104,2.385,2.413,2.065,3.253
ece score,sick,1.352,3.104,2.377,1.166,2.3,3.164
ece score,waveform,2.374,2.979,2.286,2.163,1.982,3.169
ece score,car,2.514,3.05,2.387,2.359,2.731,3.266
ece score,vote,2.641,3.367,2.586,2.804,2.627,2.533
ece score,ionosphere,3.075,2.963,2.117,3.298,1.839,2.052
brier score loss,kr-vs-kp,0.781,0.445,0.428,0.684,0.446,0.414
brier score loss,mushroom,0.955,0.453,0.435,0.725,0.478,0.421
brier score loss,iris,0.618,0.47,0.455,0.598,0.469,0.433
brier score loss,spambase,0.833,0.453,0.436,0.702,0.504,0.422
brier score loss,tic-tac-toe,0.582,0.457,0.441,0.613,0.514,0.425
brier score loss,sick,0.937,0.451,0.433,0.79,0.563,0.419
brier score loss,waveform,0.843,0.45,0.434,0.654,0.468,0.419
brier score loss,car,0.747,0.458,0.439,0.699,0.522,0.425
brier score loss,vote,0.873,0.45,0.434,0.726,0.511,0.42
brier score loss,ionosphere,0.73,0.428,0.414,0.485,0.385,0.4
